strategy,scenario,municipalities,capacity_margin,iso_code,id
Hybrid,Scenario 2 (100 Mbps),Alphen-Chaam,112492.6949,NLD,Alphen-Chaam
Small Cells,Scenario 2 (100 Mbps),Alphen-Chaam,111671.2758,NLD,Alphen-Chaam
Spectrum Integration,Scenario 2 (100 Mbps),Alphen-Chaam,-2337.596508,NLD,Alphen-Chaam
Hybrid,Scenario 3 (300 Mbps),Alphen-Chaam,101759.0837,NLD,Alphen-Chaam
Small Cells,Scenario 3 (300 Mbps),Alphen-Chaam,100937.6646,NLD,Alphen-Chaam
Spectrum Integration,Scenario 3 (300 Mbps),Alphen-Chaam,-13071.20771,NLD,Alphen-Chaam
Hybrid,Scenario 1 (30 Mbps),Alphen aan den Rijn,113269.4937,NLD,Alphen aan den Rijn
Small Cells,Scenario 1 (30 Mbps),Alphen aan den Rijn,110556.6932,NLD,Alphen aan den Rijn
Spectrum Integration,Scenario 1 (30 Mbps),Alphen aan den Rijn,-10274.5309,NLD,Alphen aan den Rijn
Hybrid,Scenario 2 (100 Mbps),Alphen aan den Rijn,106619.0145,NLD,Alphen aan den Rijn
Small Cells,Scenario 2 (100 Mbps),Alphen aan den Rijn,105153.2112,NLD,Alphen aan den Rijn
Spectrum Integration,Scenario 2 (100 Mbps),Alphen aan den Rijn,-58849.32506,NLD,Alphen aan den Rijn
Hybrid,Scenario 3 (300 Mbps),Alphen aan den Rijn,64267.35333,NLD,Alphen aan den Rijn
Small Cells,Scenario 3 (300 Mbps),Alphen aan den Rijn,63621.26139,NLD,Alphen aan den Rijn
Spectrum Integration,Scenario 3 (300 Mbps),Alphen aan den Rijn,-198346.8195,NLD,Alphen aan den Rijn
Hybrid,Scenario 1 (30 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",30737.58874,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Small Cells,Scenario 1 (30 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",30432.47396,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Spectrum Integration,Scenario 1 (30 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",-1252.554816,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Hybrid,Scenario 2 (100 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",25189.50635,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Small Cells,Scenario 2 (100 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",24884.39156,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Spectrum Integration,Scenario 2 (100 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",-6800.637216,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Hybrid,Scenario 3 (300 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",9337.842346,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Small Cells,Scenario 3 (300 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",9032.727562,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Spectrum Integration,Scenario 3 (300 Mbps),"Alphen aan den Rijn,Bodegraven-Reeuwijk",-22652.30122,NLD,"Alphen aan den Rijn,Bodegraven-Reeuwijk"
Hybrid,Scenario 1 (30 Mbps),Ameland,-150.55392,NLD,Ameland
Small Cells,Scenario 1 (30 Mbps),Ameland,-386.02656,NLD,Ameland
Spectrum Integration,Scenario 1 (30 Mbps),Ameland,-150.55392,NLD,Ameland
Hybrid,Scenario 2 (100 Mbps),Ameland,-2564.96256,NLD,Ameland
Small Cells,Scenario 2 (100 Mbps),Ameland,-2800.4352,NLD,Ameland
Spectrum Integration,Scenario 2 (100 Mbps),Ameland,-2564.96256,NLD,Ameland
Hybrid,Scenario 3 (300 Mbps),Ameland,-9463.27296,NLD,Ameland
Small Cells,Scenario 3 (300 Mbps),Ameland,-9698.7456,NLD,Ameland
Spectrum Integration,Scenario 3 (300 Mbps),Ameland,-9463.27296,NLD,Ameland
Hybrid,Scenario 1 (30 Mbps),Amersfoort,54523.66116,NLD,Amersfoort
Small Cells,Scenario 1 (30 Mbps),Amersfoort,51052.23386,NLD,Amersfoort
Spectrum Integration,Scenario 1 (30 Mbps),Amersfoort,-13276.34459,NLD,Amersfoort
Hybrid,Scenario 2 (100 Mbps),Amersfoort,24120.61758,NLD,Amersfoort
Small Cells,Scenario 2 (100 Mbps),Amersfoort,23462.28689,NLD,Amersfoort
Spectrum Integration,Scenario 2 (100 Mbps),Amersfoort,-75698.0038,NLD,Amersfoort
Hybrid,Scenario 3 (300 Mbps),Amersfoort,7939.384318,NLD,Amersfoort
Small Cells,Scenario 3 (300 Mbps),Amersfoort,7873.067392,NLD,Amersfoort
Spectrum Integration,Scenario 3 (300 Mbps),Amersfoort,-254194.4182,NLD,Amersfoort
Hybrid,Scenario 1 (30 Mbps),Amstelveen,45135.04058,NLD,Amstelveen
Small Cells,Scenario 1 (30 Mbps),Amstelveen,43099.1029,NLD,Amstelveen
Spectrum Integration,Scenario 1 (30 Mbps),Amstelveen,-7505.456844,NLD,Amstelveen
Hybrid,Scenario 2 (100 Mbps),Amstelveen,18537.45337,NLD,Amstelveen
Small Cells,Scenario 2 (100 Mbps),Amstelveen,18002.36401,NLD,Amstelveen
Spectrum Integration,Scenario 2 (100 Mbps),Amstelveen,-42480.96524,NLD,Amstelveen
Hybrid,Scenario 3 (300 Mbps),Amstelveen,2717.730235,NLD,Amstelveen
Small Cells,Scenario 3 (300 Mbps),Amstelveen,2628.928171,NLD,Amstelveen
Spectrum Integration,Scenario 3 (300 Mbps),Amstelveen,-142410.9892,NLD,Amstelveen
Hybrid,Scenario 1 (30 Mbps),Amsterdam,82049.69191,NLD,Amsterdam
Small Cells,Scenario 1 (30 Mbps),Amsterdam,72184.46874,NLD,Amsterdam
Spectrum Integration,Scenario 1 (30 Mbps),Amsterdam,-72171.44795,NLD,Amsterdam
Hybrid,Scenario 2 (100 Mbps),Amsterdam,91897.13348,NLD,Amsterdam
Small Cells,Scenario 2 (100 Mbps),Amsterdam,90952.75769,NLD,Amsterdam
Spectrum Integration,Scenario 2 (100 Mbps),Amsterdam,-401448.7792,NLD,Amsterdam
Hybrid,Scenario 3 (300 Mbps),Amsterdam,75525.97274,NLD,Amsterdam
Small Cells,Scenario 3 (300 Mbps),Amsterdam,74916.31241,NLD,Amsterdam
Spectrum Integration,Scenario 3 (300 Mbps),Amsterdam,-1343983.041,NLD,Amsterdam
Hybrid,Scenario 1 (30 Mbps),"Amsterdam,Oostzaan",106.5865433,NLD,"Amsterdam,Oostzaan"
Small Cells,Scenario 1 (30 Mbps),"Amsterdam,Oostzaan",104.3095673,NLD,"Amsterdam,Oostzaan"
Spectrum Integration,Scenario 1 (30 Mbps),"Amsterdam,Oostzaan",-12.779664,NLD,"Amsterdam,Oostzaan"
Hybrid,Scenario 2 (100 Mbps),"Amsterdam,Oostzaan",57.17438332,NLD,"Amsterdam,Oostzaan"
Small Cells,Scenario 2 (100 Mbps),"Amsterdam,Oostzaan",54.89740732,NLD,"Amsterdam,Oostzaan"
Spectrum Integration,Scenario 2 (100 Mbps),"Amsterdam,Oostzaan",-62.191824,NLD,"Amsterdam,Oostzaan"
Hybrid,Scenario 3 (300 Mbps),"Amsterdam,Oostzaan",0.0,NLD,"Amsterdam,Oostzaan"
Small Cells,Scenario 3 (300 Mbps),"Amsterdam,Oostzaan",0.0,NLD,"Amsterdam,Oostzaan"
Spectrum Integration,Scenario 3 (300 Mbps),"Amsterdam,Oostzaan",-203.369424,NLD,"Amsterdam,Oostzaan"
Hybrid,Scenario 1 (30 Mbps),Apeldoorn,80706.24146,NLD,Apeldoorn
Small Cells,Scenario 1 (30 Mbps),Apeldoorn,77080.46633,NLD,Apeldoorn
Spectrum Integration,Scenario 1 (30 Mbps),Apeldoorn,-10847.63955,NLD,Apeldoorn
Hybrid,Scenario 2 (100 Mbps),Apeldoorn,358581.6885,NLD,Apeldoorn
Small Cells,Scenario 2 (100 Mbps),Apeldoorn,355624.1813,NLD,Apeldoorn
Spectrum Integration,Scenario 2 (100 Mbps),Apeldoorn,-79518.33551,NLD,Apeldoorn
Hybrid,Scenario 3 (300 Mbps),Apeldoorn,307314.7138,NLD,Apeldoorn
Small Cells,Scenario 3 (300 Mbps),Apeldoorn,304755.6774,NLD,Apeldoorn
Spectrum Integration,Scenario 3 (300 Mbps),Apeldoorn,-282370.7203,NLD,Apeldoorn
Hybrid,Scenario 1 (30 Mbps),Appingedam,-2089.01241,NLD,Appingedam
Small Cells,Scenario 1 (30 Mbps),Appingedam,-2408.27499,NLD,Appingedam
Spectrum Integration,Scenario 1 (30 Mbps),Appingedam,-2089.01241,NLD,Appingedam
Hybrid,Scenario 2 (100 Mbps),Appingedam,-9760.62447,NLD,Appingedam
Small Cells,Scenario 2 (100 Mbps),Appingedam,-10079.88705,NLD,Appingedam
Spectrum Integration,Scenario 2 (100 Mbps),Appingedam,-9760.62447,NLD,Appingedam
Hybrid,Scenario 3 (300 Mbps),Appingedam,-31679.51607,NLD,Appingedam
Small Cells,Scenario 3 (300 Mbps),Appingedam,-31998.77865,NLD,Appingedam
Spectrum Integration,Scenario 3 (300 Mbps),Appingedam,-31679.51607,NLD,Appingedam
Hybrid,Scenario 1 (30 Mbps),Arnhem,36144.52421,NLD,Arnhem
Small Cells,Scenario 1 (30 Mbps),Arnhem,32784.49732,NLD,Arnhem
Spectrum Integration,Scenario 1 (30 Mbps),Arnhem,-12437.52217,NLD,Arnhem
Hybrid,Scenario 2 (100 Mbps),Arnhem,94757.94168,NLD,Arnhem
Small Cells,Scenario 2 (100 Mbps),Arnhem,93870.77491,NLD,Arnhem
Spectrum Integration,Scenario 2 (100 Mbps),Arnhem,-76278.97544,NLD,Arnhem
Hybrid,Scenario 3 (300 Mbps),Arnhem,80286.01303,NLD,Arnhem
Small Cells,Scenario 3 (300 Mbps),Arnhem,79637.92874,NLD,Arnhem
Spectrum Integration,Scenario 3 (300 Mbps),Arnhem,-260534.797,NLD,Arnhem
Hybrid,Scenario 1 (30 Mbps),"Arnhem,Overbetuwe",4312.549589,NLD,"Arnhem,Overbetuwe"
Small Cells,Scenario 1 (30 Mbps),"Arnhem,Overbetuwe",3954.103529,NLD,"Arnhem,Overbetuwe"
Spectrum Integration,Scenario 1 (30 Mbps),"Arnhem,Overbetuwe",-1058.92974,NLD,"Arnhem,Overbetuwe"
Hybrid,Scenario 2 (100 Mbps),"Arnhem,Overbetuwe",0.0,NLD,"Arnhem,Overbetuwe"
Small Cells,Scenario 2 (100 Mbps),"Arnhem,Overbetuwe",0.0,NLD,"Arnhem,Overbetuwe"
Spectrum Integration,Scenario 2 (100 Mbps),"Arnhem,Overbetuwe",-6600.33414,NLD,"Arnhem,Overbetuwe"
